id,full_name,short_name,brand_name,drink,category,calories,carbs,liquid,sodium,caffene,price,carry_weight,directions
30,Skratch Labs Energy Chew,skratch_chew,Skratch Labs,0,food,140,32,0,160,0,2.4,50.0,2 servings also probably wrong
29,Skratch Labs Energy Bar,skratch_bar,Skratch Labs,0,food,220,33,0,125,0,2.5,50.0,Based on chocolate chip bar
28,Skratch Labs Superfuel Drink Mix,skratch_superfuel_drink,Skratch Labs,1,drink,400,100,500,400,0,5.24,500.0,None
27,Skratch Labs Hyper Hydration Drink Mix,skratch_hyper_drink,Skratch Labs,1,sodium_drink,80,17,500,1720,0,2.93,500.0,None
26,Skratch Labs Clear Hydration Drink Mix,skratch_clear_hydration_drink,Skratch Labs,1,sodium_drink,50,13,350,270,0,1.37,500.0,None
25,GU Electrolyte Capsules,gu_sodium_caps,GU,0,sodium_food,0,0,0,140,0,0.18,0.9,None
24,GU Energy Chews,gu_chews,GU,0,food,160,40,0,80,0,2.5,54.0,"Per pne sleeve (double serving, 8 chews)"
23,GU Roctane Energy Drink Mix,gu_roctane_drink_nocaf,GU,1,drink,250,60,590,320,0,2.5,590.0,None
22,GU Roctane Energy Drink Mix Caf,gu_roctane_drink_caf,GU,1,drink,250,60,590,320,35,2.5,590.0,None
21,GU Energy Gel,gu_gel,GU,0,food,100,23,0,125,0,1.6,32.0,None
20,GU Liquid Energy Gel,gu_liquid_gel,GU,0,food,95,23,0,190,20,2.1,60.0,None
19,GU Roctane Energy Gel,gu_roctane_gel,GU,0,food,100,21,0,125,35,2.6,32.0,None
18,Aid Station Water 200ml Cup,water,Water,1,water,0,0,200,0,0,0.0,0.0,"Normal water that you can get at an aid station, measured by standard full plastic 200ml cup."
17,SiS GO Isotonic Energy Gel,sis_go_gel_isotonic,SiS,0,food,87,22,0,10,0,1.87,60.0,None
16,SiS GO Energy Gel Electrolyte,sis_go_gel_electrolyte,SiS,0,food,87,22,0,300,0,1.87,60.0,None
15,SiS GO Energy Gel Caffeine,sis_go_gel_caf,SiS,0,food,85,21,0,40,75,2.4,60.0,None
14,SiS Beta Fuel Energy Chew,sis_beta_chew,SiS,0,food,190,45,0,100,0,2.1,60.0,None
13,SiS Beta Fuel Gel,sis_beta_gel,SiS,0,food,158,40,0,30,0,2.1,60.0,None
12,Maurten Solid 225 C,maurten_solid_225_c,Maurten,0,food,225,42,0,270,0,3.0,60.0,None
11,Maurten Solid 225,maurten_solid_225,Maurten,0,food,225,43,0,260,0,3.0,60.0,None
10,Maurten Gel 100,maurten_gel_100,Maurten,0,food,100,25,0,34,0,3.6,40.0,None
9,Maurten Drink Mix 160,maurten_drink_160,Maurten,1,sodium_drink,160,39,500,400,0,2.33,500.0,None
8,Maurten Drink Mix 320,maurten_drink_320,Maurten,1,drink,320,79,500,200,0,3.43,500.0,None
7,Skratch Labs Hydration Drink Mix,skratch_hydration_drink,Skratch Labs,1,sodium_drink,80,21,415,380,0,1.1,415.0,None
6,Judee's Sodium Citrate (1 g),judees_sodium,Judee's,0,sodium_food,2,0,0,230,0,0.03,1.0,Serving size is 3g. This is just a 1/3 of a serving. Add to drinks.
5,GU Hydration Drink Tabs,gu_hydro_tabs,GU,1,sodium_drink,10,3,500,320,0,0.59,500.0,None
3,SiS Beta Fuel 80,sis_beta_80,SiS,1,drink,320,80,590,10,0,2.7,590.0,None
2,Maurten Gel 100 Caf,maurten_gel_100_caf,Maurten,0,food,100,25,40,22,100,4.16,40.0,None
1,Maurten Drink Mix 320 Caf,maurten_drink_320_caf,Maurten,1,drink,320,79,500,250,100,4.0,500.0,None
